study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA598342	SAMN13703205	SRX7483446	SRR10809717	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/017/SRR10809717/SRR10809717.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/017/SRR10809717
PRJNA598342	SAMN13703205	SRX7483446	SRR10809718	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/018/SRR10809718/SRR10809718.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/018/SRR10809718
PRJNA598342	SAMN13703205	SRX7483446	SRR10809719	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/019/SRR10809719/SRR10809719.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/019/SRR10809719
PRJNA598342	SAMN13703205	SRX7483446	SRR10809720	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/020/SRR10809720/SRR10809720.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/020/SRR10809720
PRJNA598342	SAMN13703204	SRX7483447	SRR10809721	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/021/SRR10809721/SRR10809721_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/021/SRR10809721/SRR10809721_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/021/SRR10809721
PRJNA598342	SAMN13703204	SRX7483447	SRR10809722	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/022/SRR10809722/SRR10809722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/022/SRR10809722/SRR10809722_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/022/SRR10809722
PRJNA598342	SAMN13703203	SRX7483448	SRR10809723	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/023/SRR10809723/SRR10809723_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/023/SRR10809723/SRR10809723_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/023/SRR10809723
PRJNA598342	SAMN13703203	SRX7483448	SRR10809724	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/024/SRR10809724/SRR10809724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/024/SRR10809724/SRR10809724_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/024/SRR10809724
PRJNA598342	SAMN13703203	SRX7483448	SRR10809725	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/025/SRR10809725/SRR10809725_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/025/SRR10809725/SRR10809725_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/025/SRR10809725
PRJNA598342	SAMN13703202	SRX7483449	SRR10809726	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/026/SRR10809726/SRR10809726.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/026/SRR10809726
PRJNA598342	SAMN13703202	SRX7483449	SRR10809727	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/027/SRR10809727/SRR10809727.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/027/SRR10809727
PRJNA598342	SAMN13703202	SRX7483449	SRR10809728	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/028/SRR10809728/SRR10809728.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/028/SRR10809728
PRJNA598342	SAMN13703202	SRX7483449	SRR10809729	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/029/SRR10809729/SRR10809729.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/029/SRR10809729
PRJNA598342	SAMN13703201	SRX7483450	SRR10809730	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/030/SRR10809730/SRR10809730.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/030/SRR10809730
PRJNA598342	SAMN13703201	SRX7483450	SRR10809731	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/031/SRR10809731/SRR10809731.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/031/SRR10809731
PRJNA598342	SAMN13703201	SRX7483450	SRR10809732	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/032/SRR10809732/SRR10809732.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/032/SRR10809732
PRJNA598342	SAMN13703201	SRX7483450	SRR10809733	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/033/SRR10809733/SRR10809733.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/033/SRR10809733
PRJNA598342	SAMN13703201	SRX7483450	SRR10809734	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/034/SRR10809734/SRR10809734.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/034/SRR10809734
PRJNA598342	SAMN13703201	SRX7483450	SRR10809735	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/035/SRR10809735/SRR10809735.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/035/SRR10809735
PRJNA598342	SAMN13703201	SRX7483450	SRR10809736	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10809736/SRR10809736.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/036/SRR10809736
PRJNA598342	SAMN13703201	SRX7483450	SRR10809737	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/037/SRR10809737/SRR10809737.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/037/SRR10809737
PRJNA598342	SAMN13703200	SRX7483451	SRR10809738	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/038/SRR10809738/SRR10809738.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/038/SRR10809738
PRJNA598342	SAMN13703200	SRX7483451	SRR10809739	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/039/SRR10809739/SRR10809739.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/039/SRR10809739
PRJNA598342	SAMN13703200	SRX7483451	SRR10809740	7227	Drosophila melanogaster	ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/040/SRR10809740/SRR10809740.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR108/040/SRR10809740
